stitched_page,stitched_record,stitched_refs,best_overlap,best_record_index,best_inst,best_refs
112,3,SPRINGFIELD | 92 BEAUMONT ST || SPRINGFIELD | 92-94 BEAUMONT ST,2,3,9267,SPRINGFIELD|92 BEAUMONT ST || SPRINGFIELD|92-94 BEAUMONT ST
116,4,BAST LONGMEADOW | BALDWIN ST || BAST LONGMEADOW | GLENDALE RD || BAST LONGMEADOW | GROVE AVE,3,4,9532,BAST LONGMEADOW|GROVE AVE || BAST LONGMEADOW|BALDWIN ST || BAST LONGMEADOW|GLENDALE RD
120,2,WESTFIELD | 260 SAUNDER ST || PALMER | 302 RONDEAU RD,2,2,9780,PALMER|302 RONDEAU RD || WESTFIELD|260 SAUNDER ST
120,4,HOLYOKE | MAPLE CREST DR UNIT 201 || HOLYOKE | 20 MAPLE CREST CIR UNIT I,2,4,9745,HOLYOKE|20 MAPLE CREST CIR UNIT I || HOLYOKE|MAPLE CREST DR UNIT 201
123,2,AGAWAM | 227 REGENCY PARK || WESTFIELD | 31 SUMMIT DR,2,2,9901,AGAWAM|227 REGENCY PARK || WESTFIELD|31 SUMMIT DR
130,2,CHICOPEE | 50 FREDETTE ST || SOUTHWICK | 138 VINING HILL RD,2,2,10218,CHICOPEE|50 FREDETTE ST || SOUTHWICK|138 VINING HILL RD
131,2,WESTFIELD | 15 W SILVER ST || WESTFIELD | 17 W SILVER ST,2,2,10260,WESTFIELD|15 W SILVER ST || WESTFIELD|17 W SILVER ST
147,1,SPRINGFIELD | OAKLAND ST || SPRINGFIELD | 173 OAKLAND ST,2,1,11007,SPRINGFIELD|OAKLAND ST || SPRINGFIELD|173 OAKLAND ST
151,2,SPRINGFIELD | LOCUST ST || SPRINGFIELD | 196-200 LOCUST ST,2,2,11114,SPRINGFIELD|LOCUST ST || SPRINGFIELD|196-200 LOCUST ST
151,3,SPRINGFIELD | LOCUST ST || SPRINGFIELD | 196-200 LOCUST ST,2,3,11113,SPRINGFIELD|LOCUST ST || SPRINGFIELD|196-200 LOCUST ST
151,5,SPRINGFIELD | LOCUST ST || SPRINGFIELD | 270 LOCUST ST,2,5,11111,SPRINGFIELD|270 LOCUST ST || SPRINGFIELD|LOCUST ST
152,3,WEST SPRINGFIELD | 132 JENSEN CIR || WESTFIELD | 55 SPRINGFIELD RD || WESTFIELD | 65 SPRINGFIELD RD || WESTFIELD | 27 LADY SLIPPER CIR,4,3,11198,WESTFIELD|27 LADY SLIPPER CIR || WESTFIELD|55 SPRINGFIELD RD || WEST SPRINGFIELD|132 JENSEN CIR || WESTFIELD|65 SPRINGFIELD RD
161,3,HOLYOKE | 41-43 MOSHER ST || HOLYOKE | 50 WEST || HOLYOKE | 52 WEST ST || HOLYOKE | 556 SOUTH BRIDGE ST,4,3,11661,HOLYOKE|52 WEST ST || HOLYOKE|41-43 MOSHER ST || HOLYOKE|50 WEST || HOLYOKE|556 SOUTH BRIDGE ST
163,2,HOLYOKE | DWIGHT ST || HOLYOKE | 921 DWIGHT ST,2,2,11728,HOLYOKE|921 DWIGHT ST || HOLYOKE|DWIGHT ST
165,5,AGAWAM | 400 SOUTH WESTFIELD ST || HAMPDEN | 530 GLENDALE RD,2,5,11830,HAMPDEN|530 GLENDALE RD || AGAWAM|400 SOUTH WESTFIELD ST
166,4,BAST LONGMEADOW | 24 SPRING VALLEY RD || CHICOPEE | 149 POPLAR ST,2,4,11845,BAST LONGMEADOW|24 SPRING VALLEY RD || CHICOPEE|149 POPLAR ST
167,3,SPRINGFIELD | 16 MALCOLM RD || CHICOPEE | 110 WOODCREST CIR,2,3,11880,CHICOPEE|110 WOODCREST CIR || SPRINGFIELD|16 MALCOLM RD
174,1,CHICOPEE | 114 KELLEY RD || CHICOPEE | 114 KELLEY RD UNIT X16,2,1,12186,CHICOPEE|114 KELLEY RD UNIT X16 || CHICOPEE|114 KELLEY RD
175,6,CHICOPEE | 144 HORSESHOE DR UNIT 144 || CHICOPEE | 144 HORSESHOE DR UNIT 6160B,2,6,,CHICOPEE|144 HORSESHOE DR UNIT 6160B || CHICOPEE|144 HORSESHOE DR UNIT 144
182,6,BAST LONGMEADOW | 130 ELM ST || MONSON | 44 BEEBE RD,2,6,12568,BAST LONGMEADOW|130 ELM ST || MONSON|44 BEEBE RD
184,5,BRIMFIELD | HAYNES HILL RD || BRIMFIELD | 153 HAYNES HILL RD,2,5,12690,BRIMFIELD|HAYNES HILL RD || BRIMFIELD|153 HAYNES HILL RD
189,3,WEST SPRINGFIELD | 312 MEMORIAL AVE || WEST SPRINGFIELD | 338-356 MEMORIAL AVE,2,3,12910,WEST SPRINGFIELD|312 MEMORIAL AVE || WEST SPRINGFIELD|338-356 MEMORIAL AVE
191,5,AGAWAM | 125 COREY COLONIAL || AGAWAM | 125 COREY COLONIAL UNIT 125,2,5,,AGAWAM|125 COREY COLONIAL || AGAWAM|125 COREY COLONIAL UNIT 125
194,4,SPRINGFIELD | 28-30 ASTER ST || SPRINGFIELD | 59 FERRIS ST,2,4,13093,SPRINGFIELD|59 FERRIS ST || SPRINGFIELD|28-30 ASTER ST
197,6,SPRINGFIELD | 1592-1596 MAIN ST || SPRINGFIELD | 1600 MAIN ST,2,6,13199,SPRINGFIELD|1600 MAIN ST || SPRINGFIELD|1592-1596 MAIN ST
198,4,SPRINGFIELD | PEARL ST || SPRINGFIELD | SPRING ST || SPRINGFIELD | 109-111 SPRING ST || SPRINGFIELD | 117 SPRING ST,4,4,13247,SPRINGFIELD|117 SPRING ST || SPRINGFIELD|SPRING ST || SPRINGFIELD|109-111 SPRING ST || SPRINGFIELD|PEARL ST
201,3,WALES | 117 MAIN ST || AGAWAM | 22 FLORIDA DR,2,3,13310,WALES|117 MAIN ST || AGAWAM|22 FLORIDA DR
206,6,SPRINGFIELD | 144 JAMESTOWN DR UNIT 144 || SPRINGFIELD | 144 JAMESTOWN DR UNIT 50,2,6,13480,SPRINGFIELD|144 JAMESTOWN DR UNIT 50 || SPRINGFIELD|144 JAMESTOWN DR UNIT 144
208,2,BAST LONGMEADOW | 6 OLD PASTURE DR || BAST LONGMEADOW | 6 OLD PASTURE RD,2,2,13570,BAST LONGMEADOW|6 OLD PASTURE RD || BAST LONGMEADOW|6 OLD PASTURE DR
214,5,LUDLOW | MASSACHUSETTS AVE || LUDLOW | 147 MASSACHUSETTS AVE,2,5,13835,LUDLOW|MASSACHUSETTS AVE || LUDLOW|147 MASSACHUSETTS AVE
216,5,BRIMFIELD | 12 THIRD ST || BRIMFIELD | 96 3RD ST,2,5,13926,BRIMFIELD|12 THIRD ST || BRIMFIELD|96 3RD ST
217,1,SPRINGFIELD | 181 STATE ST || SPRINGFIELD | 4-20 MAPLE ST,2,1,13965,SPRINGFIELD|181 STATE ST || SPRINGFIELD|4-20 MAPLE ST
218,3,EAST LONGMEADOW | 20 VADNAIS ST || LONGMEADOW | 53 DUNSANY DR,2,3,13993,LONGMEADOW|53 DUNSANY DR || EAST LONGMEADOW|20 VADNAIS ST
219,3,SPRINGFIELD | 196 PEARL ST || SPRINGFIELD | 202-206 PEARL ST,2,3,14085,SPRINGFIELD|196 PEARL ST || SPRINGFIELD|202-206 PEARL ST
222,3,AGAWAM | 485 SILVER ST || AGAWAM | 499 SILVER ST,2,3,14169,AGAWAM|499 SILVER ST || AGAWAM|485 SILVER ST
224,1,SPRINGFIELD | 238-240 UNION ST || SPRINGFIELD | 246-262 UNION ST,2,1,14242,SPRINGFIELD|246-262 UNION ST || SPRINGFIELD|238-240 UNION ST
224,4,SPRINGFIELD | 49-51 FORT PLEASANT AVE || SPRINGFIELD | 59 FORT PLEASANT AVE || SPRINGFIELD | 8 BLAKE HILL ST,3,4,14229,SPRINGFIELD|8 BLAKE HILL ST || SPRINGFIELD|59 FORT PLEASANT AVE || SPRINGFIELD|49-51 FORT PLEASANT AVE
225,3,SPRINGFIELD | 114-116 CENTRAL ST || SPRINGFIELD | 120-122 CENTRAL ST || SPRINGFIELD | 66-68 FORT PLEASANT AVE,3,3,14252,SPRINGFIELD|114-116 CENTRAL ST || SPRINGFIELD|66-68 FORT PLEASANT AVE || SPRINGFIELD|120-122 CENTRAL ST
227,1,LONGMEADOW | ANTHONY || SPRINGFIELD | 71 YORK,2,1,,LONGMEADOW|ANTHONY || SPRINGFIELD|71 YORK
236,3,CHICOPEE | 15 MUZZY || CHICOPEE | 15 MUZZY ST || CHICOPEE | 15 19 MUZZY ST || CHICOPEE | 15-19 MUZZY ST || CHICOPEE | 19 MUZZY ST,5,3,14811,CHICOPEE|19 MUZZY ST || CHICOPEE|15-19 MUZZY ST || CHICOPEE|15 MUZZY ST || CHICOPEE|15 MUZZY || CHICOPEE|15 19 MUZZY ST
242,5,CHICOPEE | 36-38 BELL ST || CHICOPEE | 471-473 CHICOPEE ST,2,5,15104,CHICOPEE|36-38 BELL ST || CHICOPEE|471-473 CHICOPEE ST
247,2,SPRINGFIELD | 58 S TALLYHO DR || SPRINGFIELD | 58 SOUTH TALLYHO DR,2,2,15291,SPRINGFIELD|58 S TALLYHO DR || SPRINGFIELD|58 SOUTH TALLYHO DR
250,4,BRIMFIELD | 49 MARSH HILL RD || SPRINGFIELD | 8-10 KENSINGTON AVE,2,4,15428,SPRINGFIELD|8-10 KENSINGTON AVE || BRIMFIELD|49 MARSH HILL RD
252,1,CHICOPEE | 81 POPLAR ST || LONGMEADOW | 25 VISCOUNT RD,2,1,15603,CHICOPEE|81 POPLAR ST || LONGMEADOW|25 VISCOUNT RD
258,3,WESTFIELD | 17 TOLEDO AVE || WESTFIELD | 17 TOLEDO AVE UNIT 2,2,3,15870,WESTFIELD|17 TOLEDO AVE UNIT 2 || WESTFIELD|17 TOLEDO AVE
263,1,CHESTER | MAIN ST || CHESTER | MAPLE ST,2,1,16114,CHESTER|MAPLE ST || CHESTER|MAIN ST
271,3,CHESTER | 352 E RIVER RD || CHESTER | 352 EAST RIVER RD,2,3,16477,CHESTER|352 E RIVER RD || CHESTER|352 EAST RIVER RD
271,4,WESTFIELD | 1 RIDGECREST CIR || PALMER | BURLINGAME RD,2,4,16476,WESTFIELD|1 RIDGECREST CIR || PALMER|BURLINGAME RD
272,2,LONGMEADOW | 55 TABOR CROSSING || LONGMEADOW | 55 TABOR CROSSING UNIT 217,2,2,16510,LONGMEADOW|55 TABOR CROSSING UNIT 217 || LONGMEADOW|55 TABOR CROSSING
276,5,AGAWAM | 63 COREY COLONIAL || AGAWAM | 63 COREY COLONIAL UNIT 63,2,5,16674,AGAWAM|63 COREY COLONIAL || AGAWAM|63 COREY COLONIAL UNIT 63
276,6,WEST SPRINGFIELD | 19 ELM AVE || WEST SPRINGFIELD | 19-21 ELM AVE || WEST SPRINGFIELD | 683-685 ELM ST,3,6,16672,WEST SPRINGFIELD|19-21 ELM AVE || WEST SPRINGFIELD|683-685 ELM ST || WEST SPRINGFIELD|19 ELM AVE
278,1,AGAWAM | 51 EDGEWATER RD || AGAWAM | 78 TINA LA,2,1,16766,AGAWAM|51 EDGEWATER RD || AGAWAM|78 TINA LA
289,3,SPRINGFIELD | 133 BRANDON AVE || SPRINGFIELD | 79 THOMPSON ST,2,3,17259,SPRINGFIELD|133 BRANDON AVE || SPRINGFIELD|79 THOMPSON ST
293,1,SPRINGFIELD | 331 WATER ST #333 || SPRINGFIELD | 331-333 WATER ST,2,1,17520,SPRINGFIELD|331-333 WATER ST || SPRINGFIELD|331 WATER ST #333
294,4,SPRINGFIELD | 10 INGRAHAM TERR || SPRINGFIELD | 12 INGRAHAM TERR,2,4,17536,SPRINGFIELD|12 INGRAHAM TERR || SPRINGFIELD|10 INGRAHAM TERR
297,1,SPRINGFIELD | 751 BRADLEV RD || SPRINGFIELD | 751 BRADLEY RD,2,1,17685,SPRINGFIELD|751 BRADLEV RD || SPRINGFIELD|751 BRADLEY RD
297,3,AGAWAM | 16 WHITE BIRCH TERR || HAST LONGMEADOW | 101 NOTTINGHAM DR,2,3,17668,AGAWAM|16 WHITE BIRCH TERR || HAST LONGMEADOW|101 NOTTINGHAM DR
297,4,SOUTHWICK | 37 SUMMER DR || SOUTHWICK | 44 NORTH LAKE AVE || SOUTHWICK | 44R NORTH LAKE AVE,3,4,17622,SOUTHWICK|37 SUMMER DR || SOUTHWICK|44R NORTH LAKE AVE || SOUTHWICK|44 NORTH LAKE AVE
300,3,BRIMFIELD | 1133 DUNHAMTOWN BRIMFIELD RD || WESTFIELD | 1058 RUSSELL RD,2,3,17774,WESTFIELD|1058 RUSSELL RD || BRIMFIELD|1133 DUNHAMTOWN BRIMFIELD RD
301,1,SPRINGFIELD | 59 ST JAMES AVE || SPRINGFIELD | 59-61 ST JAMES AVE || SPRINGFIELD | 61 ST JAMES AVE,3,1,17815,SPRINGFIELD|59 ST JAMES AVE || SPRINGFIELD|59-61 ST JAMES AVE || SPRINGFIELD|61 ST JAMES AVE
307,1,HOLYOKE | 10 ORCHARD ST || HOLLAND | PARK LA,2,1,18130,HOLLAND|PARK LA || HOLYOKE|10 ORCHARD ST
309,3,BAST LONGMEADOW | L ST || BAST LONGMEADOW | 137 PEASE RD,2,3,18171,BAST LONGMEADOW|137 PEASE RD || BAST LONGMEADOW|L ST
314,1,AGAWAM | 10-12 RANDALL ST || AGAWAM | 12 RANDALL ST,2,1,18471,AGAWAM|10-12 RANDALL ST || AGAWAM|12 RANDALL ST
319,3,PALMER | 21 MICHAEL DR || PALMER | 21 MICHAEL DR UNIT 21,2,3,18573,PALMER|21 MICHAEL DR || PALMER|21 MICHAEL DR UNIT 21
322,6,SPRINGFIELD | FLORENCE ST || SPRINGFIELD | 75 FLORENCE ST,2,6,18752,SPRINGFIELD|FLORENCE ST || SPRINGFIELD|75 FLORENCE ST
340,1,BLANDFORD | 848 BEECH HILL RD || GRANVILLE | 848 BEECH HILL RD,2,1,19673,GRANVILLE|848 BEECH HILL RD || BLANDFORD|848 BEECH HILL RD
342,1,MONSON | 63 WALES RD || MONSON | 67 WALES RD,2,1,19757,MONSON|67 WALES RD || MONSON|63 WALES RD
347,6,WEST SPRINGFIELD | 19 ELM AVE || WEST SPRINGFIELD | 19-21 ELM AVE || WEST SPRINGFIELD | 683-685 ELM ST,3,6,19955,WEST SPRINGFIELD|19-21 ELM AVE || WEST SPRINGFIELD|683-685 ELM ST || WEST SPRINGFIELD|19 ELM AVE
353,3,SPRINGFIELD | 119 TAVISTOCK ST || SPRINGFIELD | 63-65 LOS ANGELES ST,2,3,20210,SPRINGFIELD|119 TAVISTOCK ST || SPRINGFIELD|63-65 LOS ANGELES ST
355,1,WEST SPRINGFIELD | 162 FRONT ST || WEST SPRINGFIELD | 164 FRONT ST,2,1,20280,WEST SPRINGFIELD|164 FRONT ST || WEST SPRINGFIELD|162 FRONT ST
356,4,SPRINGFIELD | 46 EDENDALE ST || SPRINGFIELD | 11 DENNIS ST,2,4,20348,SPRINGFIELD|11 DENNIS ST || SPRINGFIELD|46 EDENDALE ST
366,5,AGAWAM | 108-110 ROWLEY ST || AGAWAM | 111-113 ROWLEY ST || AGAWAM | 12-14 ELLISON AVE || AGAWAM | 121-123 ROWLEY ST || AGAWAM | 131-133 ROWLEY ST || AGAWAM | 95-97 ROWLEY ST,6,5,20660,AGAWAM|111-113 ROWLEY ST || AGAWAM|12-14 ELLISON AVE || AGAWAM|95-97 ROWLEY ST || AGAWAM|131-133 ROWLEY ST || AGAWAM|108-110 ROWLEY ST || AGAWAM|121-123 ROWLEY ST
369,3,SPRINGFIELD | 11-13 AINSWORTH ST || SPRINGFIELD | GREENE ST || SPRINGFIELD | GREENE ST || SPRINGFIELD | 83 GREENE ST || SPRINGFIELD | GREENE ST || SPRINGFIELD | 83 GREENE ST,3,3,20826,SPRINGFIELD|GREENE ST || SPRINGFIELD|83 GREENE ST || SPRINGFIELD|11-13 AINSWORTH ST
370,2,BRIMFIELD | 104 MONSON RD || AGAWAM | 986 NORTHWEST ST,2,2,20870,BRIMFIELD|104 MONSON RD || AGAWAM|986 NORTHWEST ST
373,2,WEST SPRINGFIELD | 1304 BLM ST UNIT A6 || WEST SPRINGFIELD | 1304 ELM ST UNIT 6A,2,2,21034,WEST SPRINGFIELD|1304 ELM ST UNIT 6A || WEST SPRINGFIELD|1304 BLM ST UNIT A6
381,3,LUDLOW | EAST ST || LUDLOW | MILLER ST,2,3,21319,LUDLOW|EAST ST || LUDLOW|MILLER ST
385,1,CHICOPEE | MEADOW ST || CHICOPEE | 705 MEADOW ST,2,1,21542,CHICOPEE|705 MEADOW ST || CHICOPEE|MEADOW ST
385,2,SPRINGFIELD | 138 STUART ST || SPRINGFIELD | 107 GREENE ST,2,2,21536,SPRINGFIELD|107 GREENE ST || SPRINGFIELD|138 STUART ST
391,2,SPRINGFIELD | ST JAMES BLVD || SPRINGFIELD | 23-29 ST JAMES BLVD,2,2,21715,SPRINGFIELD|23-29 ST JAMES BLVD || SPRINGFIELD|ST JAMES BLVD
391,3,SPRINGFIELD | ST JAMES BLVD || SPRINGFIELD | 23-29 ST JAMES BLVD,2,3,21712,SPRINGFIELD|23-29 ST JAMES BLVD || SPRINGFIELD|ST JAMES BLVD
395,3,SPRINGFIELD | 21 FORT PLEASANT AVE || SPRINGFIELD | 30 BELMONT AVE,2,3,21822,SPRINGFIELD|21 FORT PLEASANT AVE || SPRINGFIELD|30 BELMONT AVE
398,1,SPRINGFIELD | WRENTHAM RD || SPRINGFIELD | 1285 BOSTON RD || SPRINGFIELD | 1291-1295 BOSTON RD,3,1,21959,SPRINGFIELD|1285 BOSTON RD || SPRINGFIELD|1291-1295 BOSTON RD || SPRINGFIELD|WRENTHAM RD
